Symbol,Shares,Order,Date
SINE_FAST_NOISE,200,SELL,2008-01-04
SINE_FAST_NOISE,200,BUY,2008-01-08
SINE_FAST_NOISE,200,SELL,2008-01-10
SINE_FAST_NOISE,200,BUY,2008-01-11
SINE_FAST_NOISE,200,SELL,2008-01-14
SINE_FAST_NOISE,200,BUY,2008-01-17
SINE_FAST_NOISE,200,SELL,2008-01-23
SINE_FAST_NOISE,200,BUY,2008-01-25
SINE_FAST_NOISE,200,BUY,2008-01-28
SINE_FAST_NOISE,200,SELL,2008-01-29
SINE_FAST_NOISE,200,BUY,2008-01-30
SINE_FAST_NOISE,200,SELL,2008-01-31
SINE_FAST_NOISE,200,BUY,2008-02-01
SINE_FAST_NOISE,200,SELL,2008-02-04
SINE_FAST_NOISE,200,SELL,2008-02-05
SINE_FAST_NOISE,200,BUY,2008-02-08
SINE_FAST_NOISE,200,SELL,2008-02-12
SINE_FAST_NOISE,200,BUY,2008-02-13
SINE_FAST_NOISE,200,BUY,2008-02-14
SINE_FAST_NOISE,200,SELL,2008-02-19
SINE_FAST_NOISE,200,SELL,2008-02-21
SINE_FAST_NOISE,200,BUY,2008-02-22
SINE_FAST_NOISE,200,BUY,2008-02-27
SINE_FAST_NOISE,200,SELL,2008-02-28
SINE_FAST_NOISE,200,BUY,2008-02-29
SINE_FAST_NOISE,200,SELL,2008-03-04
SINE_FAST_NOISE,200,BUY,2008-03-06
SINE_FAST_NOISE,200,SELL,2008-03-07
SINE_FAST_NOISE,200,SELL,2008-03-10
SINE_FAST_NOISE,200,BUY,2008-03-11
SINE_FAST_NOISE,200,SELL,2008-03-13
SINE_FAST_NOISE,200,BUY,2008-03-14
SINE_FAST_NOISE,200,BUY,2008-03-18
SINE_FAST_NOISE,200,SELL,2008-03-19
SINE_FAST_NOISE,200,BUY,2008-03-24
SINE_FAST_NOISE,200,SELL,2008-03-25
SINE_FAST_NOISE,200,SELL,2008-03-26
SINE_FAST_NOISE,200,BUY,2008-03-27
SINE_FAST_NOISE,200,SELL,2008-03-31
SINE_FAST_NOISE,200,BUY,2008-04-01
SINE_FAST_NOISE,200,SELL,2008-04-02
SINE_FAST_NOISE,200,BUY,2008-04-03
SINE_FAST_NOISE,200,SELL,2008-04-04
SINE_FAST_NOISE,200,BUY,2008-04-07
SINE_FAST_NOISE,200,SELL,2008-04-08
SINE_FAST_NOISE,200,BUY,2008-04-10
SINE_FAST_NOISE,200,BUY,2008-04-11
SINE_FAST_NOISE,200,SELL,2008-04-15
SINE_FAST_NOISE,200,BUY,2008-04-16
SINE_FAST_NOISE,200,SELL,2008-04-17
SINE_FAST_NOISE,200,BUY,2008-04-18
SINE_FAST_NOISE,200,SELL,2008-04-22
SINE_FAST_NOISE,200,BUY,2008-04-24
SINE_FAST_NOISE,200,SELL,2008-04-25
SINE_FAST_NOISE,200,BUY,2008-04-29
SINE_FAST_NOISE,200,SELL,2008-04-30
SINE_FAST_NOISE,200,BUY,2008-05-01
SINE_FAST_NOISE,200,SELL,2008-05-05
SINE_FAST_NOISE,200,SELL,2008-05-06
SINE_FAST_NOISE,200,BUY,2008-05-07
SINE_FAST_NOISE,200,BUY,2008-05-09
SINE_FAST_NOISE,200,SELL,2008-05-12
SINE_FAST_NOISE,200,BUY,2008-05-13
SINE_FAST_NOISE,200,SELL,2008-05-19
SINE_FAST_NOISE,200,BUY,2008-05-21
SINE_FAST_NOISE,200,SELL,2008-05-22
SINE_FAST_NOISE,200,BUY,2008-05-23
SINE_FAST_NOISE,200,SELL,2008-05-27
SINE_FAST_NOISE,200,SELL,2008-05-30
SINE_FAST_NOISE,200,BUY,2008-06-02
SINE_FAST_NOISE,200,SELL,2008-06-03
SINE_FAST_NOISE,200,BUY,2008-06-04
